,player,team,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,date
20,Courtney Lee,BOS,4:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2013-04-23
21,Shavlik Randolph,BOS,3:13,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,0.5,-2,2013-04-23
22,Terrence Williams,BOS,2:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2,2013-04-23
0,Pau Gasol,LAL,24:29,5,12,.417,1,2,.500,4,4,1.000,1,12,13,4,0,0,5,0,15,10.7,-2,2013-10-29
1,Steve Blake,LAL,22:25,2,3,.667,2,2,1.000,0,0,,1,1,2,1,1,0,0,1,6,7.0,-6,2013-10-29
2,Nick Young,LAL,22:03,3,10,.300,1,4,.250,6,8,.750,0,1,1,0,1,0,2,1,13,5.3,-4,2013-10-29
3,Steve Nash,LAL,20:44,1,3,.333,1,1,1.000,0,0,,0,1,1,5,0,0,3,3,3,0.9,-2,2013-10-29
4,Shawne Williams,LAL,12:50,1,5,.200,0,3,.000,1,2,.500,1,2,3,0,1,2,1,3,3,1.0,-2,2013-10-29
5,Jordan Farmar,LAL,27:16,6,10,.600,2,3,.667,2,4,.500,2,2,4,6,1,0,3,5,16,12.8,+15,2013-10-29
6,Xavier Henry,LAL,26:24,8,13,.615,3,4,.750,3,8,.375,2,4,6,2,1,0,1,1,22,17.7,+15,2013-10-29
7,Jodie Meeks,LAL,25:35,4,8,.500,3,6,.500,2,2,1.000,0,3,3,2,1,0,2,2,13,9.5,+19,2013-10-29
8,Wesley Johnson,LAL,20:32,1,11,.091,1,4,.250,0,0,,0,3,3,1,0,1,0,4,3,-3.6,+15,2013-10-29
9,Chris Kaman,LAL,19:40,5,10,.500,0,0,,0,0,,4,4,8,0,1,2,1,1,10,10.0,0,2013-10-29
10,Jordan Hill,LAL,18:02,6,8,.750,0,0,,0,0,,7,1,8,2,1,1,1,2,12,15.3,+17,2013-10-29
11,Blake Griffin,LAC,40:09,8,15,.533,0,0,,3,10,.300,2,5,7,3,1,0,4,1,19,10.5,-6,2013-10-29
12,Chris Paul,LAC,35:58,5,13,.385,0,2,.000,5,5,1.000,0,6,6,11,5,0,1,4,15,19.8,-13,2013-10-29
13,DeAndre Jordan,LAC,35:29,8,10,.800,0,0,,1,2,.500,4,7,11,1,3,3,1,5,17,20.5,-13,2013-10-29
14,JJ Redick,LAC,33:49,5,12,.417,2,5,.400,1,1,1.000,1,1,2,3,0,0,1,0,13,8.7,-19,2013-10-29
15,Jared Dudley,LAC,22:43,2,6,.333,1,4,.250,0,0,,0,3,3,2,0,0,1,4,5,1.3,0,2013-10-29
16,Matt Barnes,LAC,28:28,3,6,.500,1,3,.333,1,1,1.000,2,4,6,3,2,0,3,4,8,7.1,-15,2013-10-29
17,Jamal Crawford,LAC,25:54,5,13,.385,3,6,.500,2,2,1.000,1,2,3,3,0,0,3,0,15,8.3,-1,2013-10-29
18,Darren Collison,LAC,12:29,4,5,.800,1,1,1.000,0,0,,0,1,1,1,0,0,2,2,9,5.3,+2,2013-10-29
19,Ryan Hollins,LAC,3:57,0,2,.000,0,0,,0,2,.000,0,1,1,0,0,1,0,1,0,-1.6,-2,2013-10-29
20,Reggie Bullock,LAC,1:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2,2013-10-29
0,LeBron James,MIA,39:54,8,19,.421,1,3,.333,5,9,.556,1,5,6,5,2,2,3,2,22,15.6,+1,2011-05-01
1,Chris Bosh,MIA,37:20,3,10,.300,0,0,,1,2,.500,2,10,12,0,1,1,3,4,7,2.3,-5,2011-05-01
2,Dwyane Wade,MIA,37:18,14,21,.667,2,5,.400,8,9,.889,0,1,1,5,3,2,2,4,38,33.1,+8,2011-05-01
3,Mike Bibby,MIA,21:55,1,4,.250,1,3,.333,0,0,,0,3,3,1,0,1,0,2,3,2.1,+7,2011-05-01
4,Zydrunas Ilgauskas,MIA,12:31,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,3,3,0,-4.0,-7,2011-05-01
5,Joel Anthony,MIA,31:11,0,1,.000,0,0,,2,2,1.000,1,4,5,1,0,2,2,4,2,1.7,+15,2011-05-01
6,James Jones,MIA,28:17,5,7,.714,5,7,.714,10,10,1.000,0,3,3,0,0,0,0,2,25,22.2,+14,2011-05-01
7,Mario Chalmers,MIA,23:12,1,4,.250,0,1,.000,0,0,,0,2,2,2,1,0,2,0,2,0.6,-1,2011-05-01
8,Mike Miller,MIA,8:22,0,0,,0,0,,0,0,,0,3,3,3,0,0,1,0,0,2.0,+13,2011-05-01
9,Ray Allen,BOS,38:40,9,13,.692,5,8,.625,2,2,1.000,1,2,3,3,1,0,0,4,25,22.3,-6,2011-05-01
10,Kevin Garnett,BOS,37:12,3,9,.333,0,0,,0,0,,0,8,8,3,1,2,0,3,6,6.6,+6,2011-05-01
